season,round,driver,driver_id,position,points,wins
2015,1,Lewis Hamilton,hamilton,1,25.0,1
2015,1,Nico Rosberg,rosberg,2,18.0,0
2015,1,Sebastian Vettel,vettel,3,15.0,0
2015,1,Felipe Massa,massa,4,12.0,0
2015,1,Felipe Nasr,nasr,5,10.0,0
2015,1,Daniel Ricciardo,ricciardo,6,8.0,0
2015,1,Nico Hülkenberg,hulkenberg,7,6.0,0
2015,1,Marcus Ericsson,ericsson,8,4.0,0
2015,1,Carlos Sainz,sainz,9,2.0,0
2015,1,Sergio Pérez,perez,10,1.0,0
2015,1,Jenson Button,button,11,0.0,0
2015,1,Kimi Räikkönen,raikkonen,12,0.0,0
2015,1,Max Verstappen,max_verstappen,13,0.0,0
2015,1,Romain Grosjean,grosjean,14,0.0,0
2015,1,Pastor Maldonado,maldonado,15,0.0,0
2015,1,Daniil Kvyat,kvyat,16,0.0,0
2015,1,Kevin Magnussen,kevin_magnussen,17,0.0,0
2015,1,Valtteri Bottas,bottas,18,0.0,0
2015,2,Lewis Hamilton,hamilton,1,43.0,1
2015,2,Sebastian Vettel,vettel,2,40.0,1
2015,2,Nico Rosberg,rosberg,3,33.0,0
2015,2,Felipe Massa,massa,4,20.0,0
2015,2,Kimi Räikkönen,raikkonen,5,12.0,0
2015,2,Felipe Nasr,nasr,6,10.0,0
2015,2,Valtteri Bottas,bottas,7,10.0,0
2015,2,Daniel Ricciardo,ricciardo,8,9.0,0
2015,2,Nico Hülkenberg,hulkenberg,9,6.0,0
2015,2,Max Verstappen,max_verstappen,10,6.0,0
2015,2,Carlos Sainz,sainz,11,6.0,0
2015,2,Marcus Ericsson,ericsson,12,4.0,0
2015,2,Daniil Kvyat,kvyat,13,2.0,0
2015,2,Sergio Pérez,perez,14,1.0,0
2015,2,Romain Grosjean,grosjean,15,0.0,0
2015,2,Jenson Button,button,16,0.0,0
2015,2,Roberto Merhi,merhi,17,0.0,0
2015,2,Pastor Maldonado,maldonado,18,0.0,0
2015,2,Kevin Magnussen,kevin_magnussen,19,0.0,0
2015,2,Fernando Alonso,alonso,20,0.0,0
2015,2,Will Stevens,stevens,21,0.0,0
2015,3,Lewis Hamilton,hamilton,1,68.0,2
2015,3,Sebastian Vettel,vettel,2,55.0,1
2015,3,Nico Rosberg,rosberg,3,51.0,0
2015,3,Felipe Massa,massa,4,30.0,0
2015,3,Kimi Räikkönen,raikkonen,5,24.0,0
2015,3,Valtteri Bottas,bottas,6,18.0,0
2015,3,Felipe Nasr,nasr,7,14.0,0
2015,3,Daniel Ricciardo,ricciardo,8,11.0,0
2015,3,Romain Grosjean,grosjean,9,6.0,0
2015,3,Nico Hülkenberg,hulkenberg,10,6.0,0
2015,3,Max Verstappen,max_verstappen,11,6.0,0
2015,3,Carlos Sainz,sainz,12,6.0,0
2015,3,Marcus Ericsson,ericsson,13,5.0,0
2015,3,Daniil Kvyat,kvyat,14,2.0,0
2015,3,Sergio Pérez,perez,15,1.0,0
2015,3,Jenson Button,button,16,0.0,0
2015,3,Fernando Alonso,alonso,17,0.0,0
2015,3,Roberto Merhi,merhi,18,0.0,0
2015,3,Will Stevens,stevens,19,0.0,0
2015,3,Pastor Maldonado,maldonado,20,0.0,0
2015,3,Kevin Magnussen,kevin_magnussen,21,0.0,0
2015,4,Lewis Hamilton,hamilton,1,93.0,3
2015,4,Nico Rosberg,rosberg,2,66.0,0
2015,4,Sebastian Vettel,vettel,3,65.0,1
2015,4,Kimi Räikkönen,raikkonen,4,42.0,0
2015,4,Felipe Massa,massa,5,31.0,0
2015,4,Valtteri Bottas,bottas,6,30.0,0
2015,4,Daniel Ricciardo,ricciardo,7,19.0,0
2015,4,Felipe Nasr,nasr,8,14.0,0
2015,4,Romain Grosjean,grosjean,9,12.0,0
2015,4,Nico Hülkenberg,hulkenberg,10,6.0,0
2015,4,Max Verstappen,max_verstappen,11,6.0,0
2015,4,Carlos Sainz,sainz,12,6.0,0
2015,4,Sergio Pérez,perez,13,5.0,0
2015,4,Marcus Ericsson,ericsson,14,5.0,0
2015,4,Daniil Kvyat,kvyat,15,4.0,0
2015,4,Fernando Alonso,alonso,16,0.0,0
2015,4,Jenson Button,button,17,0.0,0
2015,4,Roberto Merhi,merhi,18,0.0,0
2015,4,Will Stevens,stevens,19,0.0,0
2015,4,Pastor Maldonado,maldonado,20,0.0,0
2015,4,Kevin Magnussen,kevin_magnussen,21,0.0,0
2015,5,Lewis Hamilton,hamilton,1,111.0,3
2015,5,Nico Rosberg,rosberg,2,91.0,1
2015,5,Sebastian Vettel,vettel,3,80.0,1
2015,5,Kimi Räikkönen,raikkonen,4,52.0,0
2015,5,Valtteri Bottas,bottas,5,42.0,0
2015,5,Felipe Massa,massa,6,39.0,0
2015,5,Daniel Ricciardo,ricciardo,7,25.0,0
2015,5,Romain Grosjean,grosjean,8,16.0,0
